record_id,screenshot_file,source,visible_date_label,cleaned_text,redactions_applied,notes
1,precleaned\Bernard - April 21 - 22 Imgs\IMG_8468.PNG,TablePlus,"Mon, 23 Mar at 7:05PM",TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
2,precleaned\Bernard - April 21 - 22 Imgs\IMG_8469.PNG,Grab,"Sat, 21 Feb at 6:51PM","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>",<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
3,precleaned\Bernard - April 21 - 22 Imgs\IMG_8470.PNG,Unknown,"Tue, 10 Feb at 11:54 AM","Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.",<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
4,precleaned\Bernard - April 21 - 22 Imgs\IMG_8471.PNG,Unknown,"Tue, 20 Jan at 12:42 AM","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>",<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
5,precleaned\Bernard - April 21 - 22 Imgs\IMG_8472.PNG,Unknown,,"FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>",<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
6,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Globe,,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
7,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,- Turn ON mobile data.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
8,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,- Open GlobeOne and tap Register your SIM.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
9,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,- Fill out the form with accurate details.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
10,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,- Upload a clear photo of a valid government ID.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
11,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,"- Take a selfie (portrait mode, no accessories, plain background, well-lit).",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
12,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Unknown,,- Complete your registration— you're all set!,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
13,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,Globe,,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
14,precleaned\Bernard - April 21 - 22 Imgs\IMG_8474.PNG,Globe,,"Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
15,precleaned\Bernard - April 21 - 22 Imgs\IMG_8475.PNG,BPI,"Wed, 1 Apr at 5:34PM","Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to <ACCT> until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to <PHONE> to unsubscribe.",<PHONE>; <ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
16,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,BPI,,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
17,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,Unknown,,"To know partner store near you, visit BP| Website > Search Partner Store.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
18,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,Unknown,,Text STOP to <PHONE> to unsubscribe.,<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
19,precleaned\Bernard - April 21 - 22 Imgs\IMG_8477.PNG,BPI,"Mon, 30 Mar at 7:11PM","Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (<PHONE>",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
