display_name,model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,macro_f1,weighted_f1,f1_ham,false_negative_rate,false_positive_rate,tn,fp,fn,tp,tfidf_total_features,seeds,accuracy_mean,accuracy_std,precision_smishing_mean,precision_smishing_std,recall_smishing_mean,recall_smishing_std,f1_smishing_mean,f1_smishing_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,f1_ham_mean,f1_ham_std,false_negative_rate_mean,false_negative_rate_std,false_positive_rate_mean,false_positive_rate_std
TF-IDF baseline,tfidf_logreg,test_clean,,1582,0.9810366624525916,0.9884467265725289,0.9734513274336284,0.9808917197452228,0.9810355712904284,0.9810355712904284,0.9811794228356336,0.0265486725663716,0.011378002528445,782.0,9.0,21.0,770.0,5000.0,,,,,,,,,,,,,,,,,,,
TF-IDF baseline,tfidf_logreg,test_adv_10,,1582,0.9595448798988622,0.9879194630872484,0.9304677623261696,0.9583333333333334,0.959510647010647,0.959510647010647,0.9606879606879608,0.0695322376738306,0.011378002528445,782.0,9.0,55.0,736.0,5000.0,,,,,,,,,,,,,,,,,,,
TF-IDF baseline,tfidf_logreg,test_adv_20,,1582,0.9551201011378002,0.9878048780487804,0.9216182048040455,0.9535644211903204,0.9550696723688604,0.9550696723688604,0.9565749235474006,0.0783817951959544,0.011378002528445,782.0,9.0,62.0,729.0,5000.0,,,,,,,,,,,,,,,,,,,
TF-IDF baseline,tfidf_logreg,test_adv_30,,1582,0.9462705436156764,0.9875690607734806,0.9039190897597976,0.943894389438944,0.9461739988431832,0.9461739988431832,0.9484536082474226,0.0960809102402022,0.011378002528445,782.0,9.0,76.0,715.0,5000.0,,,,,,,,,,,,,,,,,,,
Ablation C,ablation_c_uniform_weights,test_clean,42.0,1582,0.9298356510745892,0.9347826086956522,0.9241466498103666,0.9294342021614748,0.9298333801505048,0.9298333801505048,0.9302325581395348,0.0758533501896333,0.0644753476611883,740.0,51.0,60.0,731.0,,,,,,,,,,,,,,,,,,,,
Ablation C,ablation_c_uniform_weights,test_adv_10,42.0,1582,0.914032869785082,0.9326287978863936,0.8925410872313527,0.9121447028423773,0.9139931435003964,0.9139931435003964,0.915841584158416,0.1074589127686472,0.0644753476611883,740.0,51.0,85.0,706.0,,,,,,,,,,,,,,,,,,,,
Ablation C,ablation_c_uniform_weights,test_adv_20,42.0,1582,0.9070796460176992,0.9316353887399464,0.8786346396965866,0.904359141184125,0.9070044015693212,0.9070044015693212,0.9096496619545176,0.1213653603034134,0.0644753476611883,740.0,51.0,96.0,695.0,,,,,,,,,,,,,,,,,,,,
Ablation C,ablation_c_uniform_weights,test_adv_30,42.0,1582,0.900126422250316,0.9306122448979592,0.8647281921618205,0.8964613368283093,0.9000011201846064,0.9000011201846065,0.9035409035409036,0.1352718078381795,0.0644753476611883,740.0,51.0,107.0,684.0,,,,,,,,,,,,,,,,,,,,
Ablation D,ablation_d_random_weights,test_adv_10,,1582,,,,,,,,,,,,,,,"42,7,123",0.9169827222924568,0.0013158445002946,0.939214206509731,0.0037623278410809,0.8916982722292457,0.0051092944176073,0.914826370964752,0.0015471887473287,0.9169284462210036,0.0013243176273216,0.9169284462210036,0.0013243176273216,0.9190305214772554,0.0011861011634862,0.1083017277707543,0.0051092944176073,0.057732827644332,0.0040639067682229
Ablation D,ablation_d_random_weights,test_adv_20,,1582,,,,,,,,,,,,,,,"42,7,123",0.910661609776654,0.0015907784313676,0.9383912165396472,0.0038835068901323,0.8790560471976402,0.0044398035199547,0.9077442800075652,0.001727154556219,0.91057131716682,0.0015947210398952,0.91057131716682,0.0015947210398952,0.9133983543260752,0.0015375719327017,0.1209439528023598,0.0044398035199547,0.057732827644332,0.0040639067682229
Ablation D,ablation_d_random_weights,test_adv_30,,1582,,,,,,,,,,,,,,,"42,7,123",0.9016013485040034,0.0051092944176072,0.9371733996250584,0.0039715602125826,0.8609355246523388,0.01094848803773,0.8974085199758158,0.0058610246541481,0.901434244695175,0.0051548731516753,0.9014342446951747,0.0051548731516753,0.905459969414534,0.0044785643065922,0.1390644753476612,0.0109484880377299,0.057732827644332,0.0040639067682229
Ablation D,ablation_d_random_weights,test_clean,,1582,,,,,,,,,,,,,,,"42,7,123",0.934260429835651,0.0010948488037729,0.9413446286795096,0.0037437018533784,0.9262536873156342,0.0031815568627352,0.9337303625452584,0.0010265244428386,0.9342557040907864,0.0010930809041362,0.9342557040907864,0.0010930809041361,0.9347810456363148,0.001198402586021,0.0737463126843657,0.0031815568627352,0.057732827644332,0.0040639067682229
