model,split,accuracy,precision_smishing,recall_smishing,f1_smishing,macro_f1,weighted_f1,f1_ham,false_negative_rate,false_positive_rate,seed_info
Baseline 1: TF-IDF Logistic Regression,test_clean,0.9810366624525916,0.9884467265725289,0.9734513274336284,0.9808917197452228,0.9810355712904284,0.9810355712904284,0.9811794228356336,0.0265486725663716,0.011378002528445,not applicable
Baseline 1: TF-IDF Logistic Regression,test_adv_10,0.9595448798988622,0.9879194630872484,0.9304677623261696,0.9583333333333334,0.959510647010647,0.959510647010647,0.9606879606879608,0.0695322376738306,0.011378002528445,not applicable
Baseline 1: TF-IDF Logistic Regression,test_adv_20,0.9551201011378002,0.9878048780487804,0.9216182048040455,0.9535644211903204,0.9550696723688604,0.9550696723688604,0.9565749235474006,0.0783817951959544,0.011378002528445,not applicable
Baseline 1: TF-IDF Logistic Regression,test_adv_30,0.9462705436156764,0.9875690607734806,0.9039190897597976,0.943894389438944,0.9461739988431832,0.9461739988431832,0.9484536082474226,0.0960809102402022,0.011378002528445,not applicable
Ablation C: Uniform Engineered-Feature Weights,test_clean,0.9298356510745892,0.9347826086956522,0.9241466498103666,0.9294342021614748,0.9298333801505048,0.9298333801505048,0.9302325581395348,0.0758533501896333,0.0644753476611883,seed 42
Ablation C: Uniform Engineered-Feature Weights,test_adv_10,0.914032869785082,0.9326287978863936,0.8925410872313527,0.9121447028423773,0.9139931435003964,0.9139931435003964,0.915841584158416,0.1074589127686472,0.0644753476611883,seed 42
Ablation C: Uniform Engineered-Feature Weights,test_adv_20,0.9070796460176992,0.9316353887399464,0.8786346396965866,0.904359141184125,0.9070044015693212,0.9070044015693212,0.9096496619545176,0.1213653603034134,0.0644753476611883,seed 42
Ablation C: Uniform Engineered-Feature Weights,test_adv_30,0.900126422250316,0.9306122448979592,0.8647281921618205,0.8964613368283093,0.9000011201846064,0.9000011201846065,0.9035409035409036,0.1352718078381795,0.0644753476611883,seed 42
Ablation D: Random Engineered-Feature Weights,test_clean,0.934260429835651,0.9413446286795096,0.9262536873156342,0.9337303625452584,0.9342557040907864,0.9342557040907864,0.9347810456363148,0.0737463126843657,0.057732827644332,"mean over seeds 42,7,123"
Ablation D: Random Engineered-Feature Weights,test_adv_10,0.9169827222924568,0.939214206509731,0.8916982722292457,0.914826370964752,0.9169284462210036,0.9169284462210036,0.9190305214772554,0.1083017277707543,0.057732827644332,"mean over seeds 42,7,123"
Ablation D: Random Engineered-Feature Weights,test_adv_20,0.910661609776654,0.9383912165396472,0.8790560471976402,0.9077442800075652,0.91057131716682,0.91057131716682,0.9133983543260752,0.1209439528023598,0.057732827644332,"mean over seeds 42,7,123"
Ablation D: Random Engineered-Feature Weights,test_adv_30,0.9016013485040034,0.9371733996250584,0.8609355246523388,0.8974085199758158,0.901434244695175,0.9014342446951747,0.905459969414534,0.1390644753476612,0.057732827644332,"mean over seeds 42,7,123"
