model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,false_negative_rate,false_positive_rate,tp,tn,fp,fn,support_ham,support_smishing
ablation_d,test_clean,42,1582,0.9418457648546145,0.9452229299363057,0.9380530973451328,0.9416243654822335,0.061946902654867256,0.05436156763590392,742,748,43,49,791,791
ablation_d,test_adv_10,42,1582,0.9380530973451328,0.944801026957638,0.9304677623261695,0.9375796178343949,0.0695322376738306,0.05436156763590392,736,748,43,55,791,791
ablation_d,test_adv_20,42,1582,0.9247787610619469,0.9432717678100264,0.9039190897597977,0.9231762427372499,0.09608091024020228,0.05436156763590392,715,748,43,76,791,791
ablation_d,test_adv_30,42,1582,0.9102402022756005,0.9414965986394558,0.8748419721871049,0.9069462647444299,0.12515802781289506,0.05436156763590392,692,748,43,99,791,791
ablation_d,test_clean,7,1582,0.9424778761061947,0.9475703324808185,0.9367888748419722,0.9421487603305785,0.0632111251580278,0.051833122629582805,741,750,41,50,791,791
ablation_d,test_adv_10,7,1582,0.9348925410872313,0.9467532467532468,0.9216182048040455,0.9340166559897501,0.07838179519595449,0.051833122629582805,729,750,41,62,791,791
ablation_d,test_adv_20,7,1582,0.9247787610619469,0.9456233421750663,0.9013906447534766,0.9229773462783172,0.0986093552465234,0.051833122629582805,713,750,41,78,791,791
ablation_d,test_adv_30,7,1582,0.9089759797724399,0.943758573388203,0.8697850821744627,0.9052631578947369,0.1302149178255373,0.051833122629582805,688,750,41,103,791,791
ablation_d,test_clean,123,1582,0.9418457648546145,0.9475032010243278,0.9355246523388117,0.9414758269720102,0.06447534766118837,0.051833122629582805,740,750,41,51,791,791
ablation_d,test_adv_10,123,1582,0.9310998735777497,0.9463350785340314,0.9140328697850821,0.929903536977492,0.08596713021491782,0.051833122629582805,723,750,41,68,791,791
ablation_d,test_adv_20,123,1582,0.9209860935524652,0.9451871657754011,0.8938053097345132,0.9187784275503573,0.10619469026548672,0.051833122629582805,707,750,41,84,791,791
ablation_d,test_adv_30,123,1582,0.9064475347661188,0.9434482758620689,0.8647281921618205,0.9023746701846965,0.13527180783817952,0.051833122629582805,684,750,41,107,791,791
