model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,false_negative_rate,false_positive_rate,tp,tn,fp,fn,support_ham,support_smishing,threshold
distilbert_ablation_b,test_clean,42,1582,0.9835651074589128,0.9835651074589128,0.9835651074589128,0.9835651074589128,0.01643489254108723,0.01643489254108723,778,778,13,13,791,791,0.5
distilbert_ablation_b,test_adv_10,42,1582,0.9905183312262958,0.983790523690773,0.9974715549936789,0.9905838041431262,0.0025284450063211127,0.01643489254108723,789,778,13,2,791,791,0.5
distilbert_ablation_b,test_adv_20,42,1582,0.9892541087231352,0.98375,0.9949431099873578,0.9893148962916405,0.0050568900126422255,0.01643489254108723,787,778,13,4,791,791,0.5
distilbert_ablation_b,test_adv_30,42,1582,0.9905183312262958,0.983790523690773,0.9974715549936789,0.9905838041431262,0.0025284450063211127,0.01643489254108723,789,778,13,2,791,791,0.5
distilbert_ablation_b,test_clean,7,1582,0.9854614412136536,0.9860759493670886,0.9848293299620733,0.9854522454142948,0.015170670037926675,0.01390644753476612,779,780,11,12,791,791,0.5
distilbert_ablation_b,test_adv_10,7,1582,0.9879898862199747,0.9861460957178841,0.9898862199747156,0.98801261829653,0.010113780025284451,0.01390644753476612,783,780,11,8,791,791,0.5
distilbert_ablation_b,test_adv_20,7,1582,0.9898862199747156,0.986198243412798,0.9936788874841972,0.9899244332493703,0.006321112515802781,0.01390644753476612,786,780,11,5,791,791,0.5
distilbert_ablation_b,test_adv_30,7,1582,0.9905183312262958,0.9862155388471178,0.9949431099873578,0.9905601006922593,0.0050568900126422255,0.01390644753476612,787,780,11,4,791,791,0.5
distilbert_ablation_b,test_clean,123,1582,0.9835651074589128,0.9799247176913425,0.9873577749683944,0.9836272040302267,0.012642225031605562,0.020227560050568902,781,775,16,10,791,791,0.5
distilbert_ablation_b,test_adv_10,123,1582,0.9873577749683944,0.9800747198007472,0.9949431099873578,0.9874529485570891,0.0050568900126422255,0.020227560050568902,787,775,16,4,791,791,0.5
distilbert_ablation_b,test_adv_20,123,1582,0.988621997471555,0.9801242236024845,0.9974715549936789,0.9887218045112782,0.0025284450063211127,0.020227560050568902,789,775,16,2,791,791,0.5
distilbert_ablation_b,test_adv_30,123,1582,0.9892541087231352,0.9801488833746899,0.9987357774968394,0.989355040701315,0.0012642225031605564,0.020227560050568902,790,775,16,1,791,791,0.5
