model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,false_negative_rate,false_positive_rate,tp,tn,fp,fn,support_ham,support_smishing,threshold
distilbert_baseline2,test_clean,42,1582,0.9848293299620733,0.9848293299620733,0.9848293299620733,0.9848293299620733,0.015170670037926675,0.015170670037926675,779,779,12,12,791,791,0.5
distilbert_baseline2,test_adv_10,42,1582,0.9734513274336283,0.9844760672703752,0.9620733249051833,0.9731457800511509,0.03792667509481669,0.015170670037926675,761,779,12,30,791,791,0.5
distilbert_baseline2,test_adv_20,42,1582,0.9671302149178256,0.9842726081258192,0.9494310998735778,0.9665379665379665,0.05056890012642225,0.015170670037926675,751,779,12,40,791,791,0.5
distilbert_baseline2,test_adv_30,42,1582,0.9627054361567636,0.9841269841269841,0.9405815423514539,0.9618616677440207,0.05941845764854614,0.015170670037926675,744,779,12,47,791,791,0.5
distilbert_baseline2,test_clean,7,1582,0.9854614412136536,0.9836272040302267,0.9873577749683944,0.9854889589905362,0.012642225031605562,0.01643489254108723,781,778,13,10,791,791,0.5
distilbert_baseline2,test_adv_10,7,1582,0.9829329962073325,0.9835443037974684,0.9823008849557522,0.9829222011385199,0.017699115044247787,0.01643489254108723,777,778,13,14,791,791,0.5
distilbert_baseline2,test_adv_20,7,1582,0.9709228824273072,0.9831387808041504,0.9582806573957017,0.970550576184379,0.041719342604298354,0.01643489254108723,758,778,13,33,791,791,0.5
distilbert_baseline2,test_adv_30,7,1582,0.9715549936788875,0.9831606217616581,0.9595448798988622,0.9712092130518234,0.040455120101137804,0.01643489254108723,759,778,13,32,791,791,0.5
distilbert_baseline2,test_clean,123,1582,0.9854614412136536,0.9824120603015075,0.988621997471555,0.9855072463768116,0.011378002528445006,0.017699115044247787,782,777,14,9,791,791,0.5
distilbert_baseline2,test_adv_10,123,1582,0.984197218710493,0.982367758186398,0.9860935524652339,0.9842271293375394,0.01390644753476612,0.017699115044247787,780,777,14,11,791,791,0.5
distilbert_baseline2,test_adv_20,123,1582,0.9709228824273072,0.981888745148771,0.9595448798988622,0.9705882352941176,0.040455120101137804,0.017699115044247787,759,777,14,32,791,791,0.5
distilbert_baseline2,test_adv_30,123,1582,0.9740834386852086,0.9820051413881749,0.965865992414665,0.9738687061822817,0.03413400758533502,0.017699115044247787,764,777,14,27,791,791,0.5
