model,seed,condition,test_loss,threshold,runtime_seconds,accuracy,precision,recall,f1,fnr,fpr,tp,tn,fp,fn,support
baseline2_clean,42,clean,0.07278406598979628,0.5,391.382,0.9747155499367889,0.978343949044586,0.9709228824273072,0.9746192893401014,0.029077117572692796,0.021491782553729456,768,774,17,23,1582
baseline2_clean,42,adv_10,0.10485219133619865,0.5,397.354,0.9671302149178256,0.9780077619663649,0.9557522123893806,0.9667519181585679,0.04424778761061947,0.021491782553729456,756,774,17,35,1582
baseline2_clean,42,adv_20,0.1491297730368323,0.5,403.493,0.9582806573957017,0.9776021080368906,0.9380530973451328,0.9574193548387097,0.061946902654867256,0.021491782553729456,742,774,17,49,1582
baseline2_clean,42,adv_30,0.1608770894859217,0.5,409.422,0.9551201011378002,0.9774535809018567,0.93173198482933,0.9540453074433657,0.06826801517067003,0.021491782553729456,737,774,17,54,1582
baseline2_clean,7,clean,0.06766802615673881,0.5,501.234,0.9835651074589128,0.9787234042553191,0.988621997471555,0.9836477987421384,0.011378002528445006,0.021491782553729456,782,774,17,9,1582
baseline2_clean,7,adv_10,0.08061541520075592,0.5,507.28,0.9791403286978508,0.9785353535353535,0.9797724399494311,0.9791535060012634,0.020227560050568902,0.021491782553729456,775,774,17,16,1582
baseline2_clean,7,adv_20,0.1234313435493421,0.5,513.532,0.9715549936788875,0.9782051282051282,0.9646017699115044,0.9713558243157223,0.035398230088495575,0.021491782553729456,763,774,17,28,1582
baseline2_clean,7,adv_30,0.13465124712320922,0.5,519.594,0.9664981036662452,0.977979274611399,0.95448798988622,0.9660908509277032,0.045512010113780026,0.021491782553729456,755,774,17,36,1582
baseline2_clean,123,clean,0.08262575232500667,0.5,839.513,0.9867256637168141,0.9848866498740554,0.988621997471555,0.9867507886435332,0.011378002528445006,0.015170670037926675,782,779,12,9,1582
baseline2_clean,123,adv_10,0.10753114009670645,0.5,845.574,0.9835651074589128,0.9847908745247148,0.9823008849557522,0.9835443037974684,0.017699115044247787,0.015170670037926675,777,779,12,14,1582
baseline2_clean,123,adv_20,0.18851248970974646,0.5,852.079,0.9709228824273072,0.9843953185955787,0.9570164348925411,0.9705128205128205,0.04298356510745891,0.015170670037926675,757,779,12,34,1582
baseline2_clean,123,adv_30,0.2103244696040879,0.5,858.205,0.9702907711757269,0.984375,0.9557522123893806,0.9698524695317511,0.04424778761061947,0.015170670037926675,756,779,12,35,1582
ablation_b_augmented,42,clean,0.08479064136736039,0.5,649.727,0.9854614412136536,0.9860759493670886,0.9848293299620733,0.9854522454142948,0.015170670037926675,0.01390644753476612,779,780,11,12,1582
ablation_b_augmented,42,adv_10,0.06152948922934346,0.5,656.195,0.9917825537294563,0.98625,0.9974715549936789,0.9918290383406663,0.0025284450063211127,0.01390644753476612,789,780,11,2,1582
ablation_b_augmented,42,adv_20,0.060166509263776716,0.5,662.427,0.9911504424778761,0.986232790988736,0.9962073324905183,0.9911949685534591,0.0037926675094816687,0.01390644753476612,788,780,11,3,1582
ablation_b_augmented,42,adv_30,0.05823317198367588,0.5,669.074,0.9924146649810367,0.9862671660424469,0.9987357774968394,0.9924623115577889,0.0012642225031605564,0.01390644753476612,790,780,11,1,1582
ablation_b_augmented,7,clean,0.07010121331260247,0.5,753.893,0.9860935524652339,0.98856416772554,0.9835651074589128,0.9860583016476553,0.01643489254108723,0.011378002528445006,778,782,9,13,1582
ablation_b_augmented,7,adv_10,0.05673201625741955,0.5,759.932,0.9898862199747156,0.9886506935687264,0.9911504424778761,0.98989898989899,0.008849557522123894,0.011378002528445006,784,782,9,7,1582
ablation_b_augmented,7,adv_20,0.051740066106211895,0.5,765.924,0.9911504424778761,0.9886792452830189,0.9936788874841972,0.9911727616645649,0.006321112515802781,0.011378002528445006,786,782,9,5,1582
ablation_b_augmented,7,adv_30,0.052601093333369056,0.5,771.935,0.9911504424778761,0.9886792452830189,0.9936788874841972,0.9911727616645649,0.006321112515802781,0.011378002528445006,786,782,9,5,1582
ablation_b_augmented,123,clean,0.06713582750223812,0.5,541.307,0.9829329962073325,0.9811083123425692,0.9848293299620733,0.9829652996845425,0.015170670037926675,0.018963337547408345,779,776,15,12,1582
ablation_b_augmented,123,adv_10,0.054043876859047435,0.5,547.574,0.988621997471555,0.9813200498132005,0.9962073324905183,0.9887076537013803,0.0037926675094816687,0.018963337547408345,788,776,15,3,1582
ablation_b_augmented,123,adv_20,0.0552334700289857,0.5,553.744,0.9873577749683944,0.9812734082397003,0.9936788874841972,0.9874371859296482,0.006321112515802781,0.018963337547408345,786,776,15,5,1582
ablation_b_augmented,123,adv_30,0.0517753493404322,0.5,560.436,0.9892541087231352,0.9813432835820896,0.9974715549936789,0.9893416927899686,0.0025284450063211127,0.018963337547408345,789,776,15,2,1582
