model,split,accuracy,precision_smishing,recall_smishing,f1_smishing,false_negative_rate,false_positive_rate,tp,tn,fp,fn,support_ham,support_smishing,threshold,seed,selected_weight_source,feature_branch_scale
proposed_ga_v3,test_clean,0.9241466498103666,0.8765432098765432,0.9873577749683944,0.9286563614744352,0.012642225031605562,0.1390644753476612,781,681,110,10,791,791,0.25,42,best_seed_weights,2.0
proposed_ga_v3,test_adv_10,0.9216182048040455,0.8759864712514093,0.9823008849557522,0.9261025029797378,0.017699115044247787,0.1390644753476612,777,681,110,14,791,791,0.25,42,best_seed_weights,2.0
proposed_ga_v3,test_adv_20,0.9083438685208597,0.8729792147806005,0.9557522123893806,0.9124924562462282,0.04424778761061947,0.1390644753476612,756,681,110,35,791,791,0.25,42,best_seed_weights,2.0
proposed_ga_v3,test_adv_30,0.9096080910240202,0.8732718894009217,0.9582806573957017,0.9138034960819771,0.041719342604298354,0.1390644753476612,758,681,110,33,791,791,0.25,42,best_seed_weights,2.0
proposed_ga_v3,test_clean,0.9310998735777497,0.889269406392694,0.9848293299620733,0.934613077384523,0.015170670037926675,0.12262958280657396,779,694,97,12,791,791,0.25,7,best_seed_weights,2.0
proposed_ga_v3,test_adv_10,0.927307206068268,0.8885057471264368,0.97724399494311,0.9307645996387719,0.022756005056890013,0.12262958280657396,773,694,97,18,791,791,0.25,7,best_seed_weights,2.0
proposed_ga_v3,test_adv_20,0.9134007585335019,0.8856132075471698,0.9494310998735778,0.916412446613789,0.05056890012642225,0.12262958280657396,751,694,97,40,791,791,0.25,7,best_seed_weights,2.0
proposed_ga_v3,test_adv_30,0.915929203539823,0.886150234741784,0.95448798988622,0.9190505173463177,0.045512010113780026,0.12262958280657396,755,694,97,36,791,791,0.25,7,best_seed_weights,2.0
proposed_ga_v3,test_clean,0.9298356510745891,0.8872437357630979,0.9848293299620733,0.9334931096464949,0.015170670037926675,0.12515802781289506,779,692,99,12,791,791,0.25,123,best_seed_weights,2.0
proposed_ga_v3,test_adv_10,0.9260429835651075,0.8864678899082569,0.97724399494311,0.9296452194828623,0.022756005056890013,0.12515802781289506,773,692,99,18,791,791,0.25,123,best_seed_weights,2.0
proposed_ga_v3,test_adv_20,0.9127686472819216,0.8836662749706228,0.9506953223767383,0.9159561510353227,0.0493046776232617,0.12515802781289506,752,692,99,39,791,791,0.25,123,best_seed_weights,2.0
proposed_ga_v3,test_adv_30,0.9146649810366625,0.8840749414519906,0.95448798988622,0.9179331306990881,0.045512010113780026,0.12515802781289506,755,692,99,36,791,791,0.25,123,best_seed_weights,2.0
